Gender,Annual.Salary,Department,Department.Name,Assignment,Position.Title,Date.Hired
M,72238.74,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,07/17/2006
F,61399.8,POL,Department of Police,Fulltime,Police Officer III,01/28/2013
M,121058.5278,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,03/30/1986
M,109937.3284,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,07/26/1987
F,87304.86,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,05/06/1996
M,51081.4161,DLC,Department of Liquor Control,Fulltime,Liquor Store Clerk II,11/16/2005
M,158844.0447,OLO,Office of Legislative Oversight,Fulltime,Manager II,06/09/1986
F,98362.6,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,01/03/2003
M,65204.3,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,01/14/2013
M,61075.6393,POL,Department of Police,Fulltime,Police Services Assistant,06/16/2003
M,31240.3322,LIB,Department of Public Libraries,Parttime,Librarian I,10/20/2014
M,43073.94,DLC,Department of Liquor Control,Fulltime,Truck Driver Helper/Warehouse Worker,07/05/2005
M,45812.2392,DLC,Department of Liquor Control,Fulltime,Warehouse Equipment Operator,04/16/2008
F,62399.8464,PIO,Office of Public Information,Fulltime,Customer Service Representative II,12/05/2010
M,96986.1084,POL,Department of Police,Fulltime,Police Officer III,10/18/1993
M,116889.32,DGS,Department of General Services,Fulltime,Senior Engineer,01/28/2002
M,121372,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,10/28/2002
F,17988.8373,LIB,Department of Public Libraries,Parttime,Library Desk Assistant,10/21/2015
M,54921.5324,HHS,Department of Health and Human Services,Fulltime,Fiscal Assistant,03/05/2007
F,27302.7608,LIB,Department of Public Libraries,Parttime,Library Desk Assistant,12/22/1997
F,25811.8839,LIB,Department of Public Libraries,Parttime,Library Associate,01/12/2015
M,64251.5742,DGS,Department of General Services,Fulltime,Mechanic Technician II,06/30/2014
F,102200.2974,DPS,Department of Permitting Services,Fulltime,Senior Permitting Services Specialist,09/22/2014
M,37002.007,CEC,Community Engagement Cluster,Fulltime,Urban District Public Service Aide,07/08/2013
M,51577.8516,COR,Correction and Rehabilitation,Fulltime,Correctional Dietary Officer II,03/25/2013
F,99366.3,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,12/06/1999
M,77817.84,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,04/08/2001
M,93706.38,POL,Department of Police,Fulltime,Police Officer III,11/08/1999
M,57331.9698,LIB,Department of Public Libraries,Fulltime,Library Assistant I,05/03/1999
M,43540.0496,DOT,Department of Transportation,Fulltime,Bus Operator,02/02/2015
M,77354.89,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),05/19/2003
F,101313.478,HHS,Department of Health and Human Services,Fulltime,Therapist II,12/04/1994
M,65751,DGS,Department of General Services,Fulltime,Depot Supply Coordinator,10/18/2004
F,78701.8159,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,01/30/1989
F,63506.2527,HHS,Department of Health and Human Services,Fulltime,Program Specialist II,06/29/2015
M,68370.6,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/17/2008
F,77060.6328,HHS,Department of Health and Human Services,Fulltime,Social Worker III,08/04/2008
M,107621.2872,POL,Department of Police,Fulltime,Police Sergeant,08/04/1997
F,92787.69,POL,Department of Police,Fulltime,Police Officer III,03/15/1999
M,58630.46,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/10/2014
F,14911.7094,LIB,Department of Public Libraries,Parttime,Library Aide,09/22/2014
M,47089.32,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/11/2017
M,106293.41,FIN,Department of Finance,Fulltime,Senior Financial Specialist,09/12/2011
F,101313.478,HHS,Department of Health and Human Services,Fulltime,Social Worker III,06/27/1994
M,96697.4,PIO,Office of Public Information,Fulltime,Program Manager I,05/07/2012
M,99330.66,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,06/07/2004
F,83251.8084,LIB,Department of Public Libraries,Fulltime,Library Assistant Supervisor,05/16/1993
M,58632.39,DOT,Department of Transportation,Fulltime,Bus Operator,11/20/2002
M,72176.34,OHR,Office of Human Resources,Fulltime,Administrative Specialist II,05/05/2014
F,77168.9,POL,Department of Police,Fulltime,Latent Print Examiner,11/08/2010
F,59442.85,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,08/08/2016
F,59653.0476,DOT,Department of Transportation,Fulltime,Bus Operator,02/16/2004
M,72999.4846,DGS,Department of General Services,Fulltime,Mechanic Technician II,11/27/2006
F,58738.57,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),08/11/2014
F,77840.3208,HHS,Department of Health and Human Services,Fulltime,Social Worker II,06/25/2007
M,56424.48,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,01/14/2013
F,97654.8,REC,Department of Recreation,Fulltime,Recreation Supervisor,11/08/1987
F,40644.4806,DOT,Department of Transportation,Fulltime,Transit Bus Operator,05/30/2017
F,48163.1024,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,10/07/2003
F,54693.4404,PIO,Office of Public Information,Fulltime,Customer Service Representative II,06/17/2013
M,95934.4884,COR,Correction and Rehabilitation,Fulltime,Correctional Specialist II,07/06/1992
F,63615.1725,POL,Department of Police,Fulltime,Security Officer I,01/10/2005
F,68204.07,FIN,Department of Finance,Fulltime,Office Services Coordinator,09/21/1998
F,77727.2859,HHS,Department of Health and Human Services,Fulltime,Social Worker II,12/27/2016
M,87107,DOT,Department of Transportation,Fulltime,Program Specialist II,07/08/1996
F,62351.5521,HHS,Department of Health and Human Services,Parttime,Program Manager II,02/11/2013
M,77683.62,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),04/15/2002
F,78269.4652,ECM,Ethics Commission,Fulltime,Program Specialist II,06/16/2014
M,109817.64,POL,Department of Police,Fulltime,Police Sergeant,06/13/1994
F,51163.04,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,08/10/2015
F,43565.9,HHS,Department of Health and Human Services,Fulltime,Program Aide,12/27/2016
M,74354.67,DGS,Department of General Services,Fulltime,Autobody Repairer,05/05/1997
F,19746.9144,LIB,Department of Public Libraries,Parttime,Library Aide,03/28/2006
F,103004.496,DPS,Department of Permitting Services,Fulltime,Program Manager II,06/20/1988
M,79887.1344,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,02/01/1999
M,47089.32,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/11/2017
M,92745.7594,HHS,Department of Health and Human Services,Fulltime,Manager III,07/29/2013
F,62640.2,POL,Department of Police,Fulltime,Police Officer III,08/12/2013
M,61399.8,POL,Department of Police,Fulltime,Police Officer III,08/12/2013
F,58716.7,HHS,Department of Health and Human Services,Fulltime,Principal Administrative Aide,08/02/1999
M,106272.3618,POL,Department of Police,Fulltime,Program Manager II,01/11/1993
F,71454.5766,REC,Department of Recreation,Fulltime,Recreation Specialist,08/07/2006
M,157709.5641,DLC,Department of Liquor Control,Fulltime,Manager II,02/26/2001
M,90031.62,POL,Department of Police,Fulltime,Police Officer III,01/14/2002
F,74316.37,LIB,Department of Public Libraries,Fulltime,Librarian I,09/17/2000
M,114622.6275,SHF,Sheriff's Office,Fulltime,Deputy Sheriff Lieutenant,06/13/1994
F,54527.3946,POL,Department of Police,Fulltime,Public Safety Communications Specialist III,01/03/2012
M,69748.56,POL,Department of Police,Fulltime,Police Officer III,07/17/2006
F,52157.1798,HHS,Department of Health and Human Services,Fulltime,Social Worker II,03/20/2017
F,45757.3122,LIB,Department of Public Libraries,Parttime,Library Associate II,02/08/1987
M,30613.632,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,11/03/2015
F,55768.6,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,03/11/2013
M,41046.9012,DOT,Department of Transportation,Fulltime,Bus Operator,01/23/2017
M,62862.1716,DGS,Department of General Services,Fulltime,Mechanic Technician II,08/25/2014
M,54339.48,POL,Department of Police,Fulltime,Police Officer III,01/09/2017
F,77779.947,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,08/19/2002
M,69078.0006,DGS,Department of General Services,Fulltime,Public Service Craftsworker,06/20/1988
F,48587.7,DGS,Department of General Services,Fulltime,Building Services Worker II,09/03/2000
M,67066.02,DGS,Department of General Services,Fulltime,Public Service Craftsworker,11/28/2005
F,92362.41,POL,Department of Police,Fulltime,Public Safety Emergency Communications Supervisor,11/06/2000
F,62640.2,POL,Department of Police,Fulltime,Police Officer III,08/12/2013
M,79285,DGS,Department of General Services,Fulltime,Electrician II,08/20/2001
F,62063.5607,HHS,Department of Health and Human Services,Fulltime,Office Services Coordinator,08/26/2002
F,120407.5728,OMB,Office of Management and Budget,Fulltime,Senior Management and Budget Specialist,04/18/1988
M,87253.9212,COR,Correction and Rehabilitation,Fulltime,Correctional Specialist II,11/20/2000
M,133509.2,REC,Department of Recreation,Fulltime,Manager III,04/22/2002
F,77922.59,DOT,Department of Transportation,Fulltime,Program Specialist I,04/09/1990
F,94789.62,LIB,Department of Public Libraries,Fulltime,Program Specialist II,01/22/2008
F,40616.948,PIO,Office of Public Information,Fulltime,Customer Service Representative I,11/30/2015
M,61677.99,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),08/30/2010
M,69075,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),09/05/2006
M,48274.1115,DOT,Department of Transportation,Fulltime,Bus Operator,05/25/2012
F,139865.2866,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Battalion Chief,11/28/1988
M,91542.36,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,02/20/2001
M,154045.1394,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Assistant Chief,02/29/1988
M,95084.42,POL,Department of Police,Fulltime,Police Officer III,06/25/1990
F,80870.7,POL,Department of Police,Fulltime,Public Safety Communications Specialist III,09/10/2001
M,69581.93,DOT,Department of Transportation,Fulltime,Equipment Operator III,07/01/2001
F,65774.61,POL,Department of Police,Fulltime,Police Officer III,08/12/2013
F,76880.8432,HHS,Department of Health and Human Services,Parttime,Community Health Nurse II,08/04/2008
M,65093.49,DOT,Department of Transportation,Fulltime,Bus Operator,03/19/2000
M,39935.4219,DOT,Department of Transportation,Fulltime,Equipment Operator I,07/27/2015
F,74640.948,DPS,Department of Permitting Services,Fulltime,Permitting and Code Enforcement Inspector III,09/10/2012
F,22759.4232,POL,Department of Police,Parttime,Crossing Guard,10/18/2004
M,53420.46,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,06/01/2015
F,74876.8332,COR,Correction and Rehabilitation,Fulltime,Resident Supervisor II,10/01/2007
M,117689.36,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,04/20/2015
F,57477,SHF,Sheriff's Office,Fulltime,Program Manager I,05/30/2017
M,120158.28,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,12/03/2012
M,56999.35,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/22/2014
F,48636.3744,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,10/07/2003
F,57057.7952,PRO,Office of Procurement,Fulltime,Procurement Specialist IV,03/10/2014
M,48274.1115,DOT,Department of Transportation,Fulltime,Bus Operator,07/25/2011
F,49479.9,DOT,Department of Transportation,Fulltime,Bus Operator,03/02/2008
M,59320.14,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),05/05/2014
F,178906.2558,LIB,Department of Public Libraries,Fulltime,Manager II,04/23/1974
M,58160.13,DOT,Department of Transportation,Fulltime,Bus Operator,03/02/2008
F,103381.1,HHS,Department of Health and Human Services,Fulltime,Therapist II,04/09/1990
F,62329.5745,DEP,Department of Environmental Protection,Fulltime,Refuse Disposal Cashier,05/26/1987
F,68701.05,DTS,Department of Technology Services,Parttime,Manager III,05/07/2001
M,78172.38,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,07/19/2004
M,38945.4,DLC,Department of Liquor Control,Fulltime,Supply Technician III,11/30/2009
M,76271.3216,OCP,Office of Consumer Protection,Fulltime,Investigator III,10/29/2007
F,81730,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,07/21/2003
M,84042.84,POL,Department of Police,Fulltime,Police Officer III,07/21/2003
M,95117,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,06/07/2004
F,115730.22,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,09/03/2002
M,20971.2612,HHS,Department of Health and Human Services,Parttime,Principal Administrative Aide,03/24/2014
M,56230.1138,DPS,Department of Permitting Services,Fulltime,Principal Administrative Aide,04/25/2005
M,74332.962,DOT,Department of Transportation,Fulltime,Work Force Leader II,06/27/2005
M,149849.84,DTS,Department of Technology Services,Fulltime,Enterprise Technology Expert,05/03/2004
M,82269,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,12/04/2000
F,101373.7,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Supervisor,01/03/1994
M,85758,POL,Department of Police,Fulltime,Police Officer III,06/02/2003
F,87589,COR,Correction and Rehabilitation,Fulltime,Correctional Supervisor (Sergeant),05/13/2002
F,114893.3576,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,08/22/2016
M,79285,POL,Department of Police,Fulltime,Information Technology Technician III,09/06/2016
M,50603,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,01/09/2017
M,51592.82,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),11/02/2015
M,48538.3524,HHS,Department of Health and Human Services,Fulltime,Principal Administrative Aide,07/23/2007
M,52887.8772,POL,Department of Police,Fulltime,Police Services Assistant,03/05/2007
F,65727.9513,HHS,Department of Health and Human Services,Fulltime,Program Specialist II,12/17/2012
F,74139.94,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,01/16/2001
M,98286.3486,LIB,Department of Public Libraries,Fulltime,Librarian II,03/17/1997
M,122561.4456,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,05/31/1988
M,91729.62,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,05/16/2005
F,163663.08,CAT,County Attorney's Office,Fulltime,Manager II,03/14/1988
M,83224,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,02/08/1999
M,103712.4,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,02/08/1999
F,104714.5174,HHS,Department of Health and Human Services,Fulltime,Supervisory Therapist,11/10/2008
F,95084.42,POL,Department of Police,Fulltime,Police Officer III,08/04/1997
M,47103.4572,DOT,Department of Transportation,Fulltime,Bus Operator,01/07/2013
M,111309.66,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,11/29/1999
M,44311.911,DLC,Department of Liquor Control,Fulltime,Liquor Store Clerk II,01/17/2010
M,47120.4491,DLC,Department of Liquor Control,Fulltime,Truck Driver Helper/Warehouse Worker,11/30/2001
F,47502.9324,HHS,Department of Health and Human Services,Fulltime,Dental Assistant,04/18/2016
